Designator,Footprint,Quantity,Value,LCSC Part #
"12V_TP1, 3.3V_TP_REG1, 3.3V_TP_STM1, 5V_TP1, GND_TP1, GND_TP2, S1_OUT1, S1_TP1, S2_OUT1, S2_TP1, S3_OUT1, S3_TP1, S4_OUT1, S4_TP1, SCL, SDA",PinHeader_1x01_P1.00mm_Vertical,16,TestPoint,
"BOOT_R1, R11, R5, R7, R9",0805,5,10k,
BULK_1,0805,1,1uF,
BULK_22,0805,1,22uF,
BULK_4.7,0805,1,4.7uF,
C1,0402,1,2.2uF,
"C10, C11",0402,2,10pF,
C12,0402,1,0.47u,
"C13, C16, C18, C20",0402,4,1uF,
"C14, C15, C17, C19",0402,4,0.1uF,
"C2, C3, C4",CP_Radial_D5.0mm_P2.00mm,3,10u,
"C5, C6",0603,2,0.1u,
"C7, C8, C9, T_CD1, T_CD2",0805,5,100nF,
"D1, D2, D3, D4",D_DO-41_SOD81_P10.16mm_Horizontal,4,1N47xxA,
F2,1206,1,10A,
"J1, J12, J13, J2, J3, J4, J5, J6",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,8,2X1,
"J10, J11",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
"J7, J9",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
J8,slide_switch_EGER1218_Thruster,1,Conn_01x03,
Q1,SOT-23-3,1,NTR0202PLT1G OR Si2347DS,
"Q3, Q4, Q5, Q6",TO-220-3_Vertical,4,FQP30N06L,
R1,0402,1,47k,
"R10, R4, R6, R8",0805,4,330,
"R12, R14, R15, R16, R17, R18",0603,6,10k,
R2,0402,1,10k,
U1,TO-220-3_Vertical,1,L7805,
U2,TO-220-3_Vertical,1,LD1117V33,
"U3, U4, U8, U9",SOT-23-5,4,MCP1416,
U5,SOIC8_DGK_TEX,1,TCA4307,
U6,LQFP-64_10x10mm_P0.5mm,1,STM32G0B1RETx,
U7,SOIC8_4P9X3P9MC_MCH,1,ATA6561-GAQW-N,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16Mhz,
